#單位資料庫

#object,unit

花  ,朵
白花,朵
黃花,朵
紅花,朵
藍花,朵
水果,個
橘子,個
蘋果,個
鳳梨,個
柳丁,個
芭樂,個
糖,顆
糖果,個
巧克力糖,顆
椰子糖,顆
水果糖,顆 
球,個
白球,個
紅球,個
綠球,個
黃球,個
藍球,個
雞,隻
母雞,隻
公雞,隻
小雞,隻
男人,人
女人,人
男生,人
女生,人
小孩,人
來賓,人
學生,人
鴨蛋,粒
雞蛋,粒
郵票,張
汽水瓶蓋,個
汽水,瓶
報紙,份
小鳥,隻
色紙,張
圖畫紙,張
鮮花,朵
男職員,人
女職員,人
職員,人
熱帶魚,條
金魚,條
魚,條
老師,人
男老師,人
女老師,人
大人,人
乘客,人
紅色氣球,顆
黃色氣球,顆
綠色氣球,顆
氣球,顆
珍珠奶茶,杯
紅茶,杯
豬肉,公斤
牛肉,公斤
藍筆,枝
紅筆,枝
男老師,人
女老師,人
紅氣球,顆
黃氣球,顆
金色色紙,張
銀色色紙,張
單層巴士,輛
雙層巴士,輛
藍色原子筆,枝
紅色原子筆,枝
原子筆,枝
鉛筆,枝
男孩子,人
女孩子,人
魚缸,個
金魚,條
桌子,張
長椅,張
吊車,輛
橡皮擦,個
皮球,個
簿子,本
足球,個
電池,個
月餅,個
柳丁,顆
遊客,人
豆子,顆
隊員,人
飛機,架
坦克車,輛
餅乾,塊
樹苗,棵
西瓜,顆
玻璃杯,個
梨子,個
鴿子蛋,個
乒乓球,個
書,本
褲子,件
上衣,件
手帕,條
襪子,雙
漢堡,個
可樂,杯
檸檬,個
柳橙,個
座位,個
毛衣,件
瑞士糖,顆
牛乳糖,顆
麵包,個
直尺,把
棒球,個
網球,個
鉛筆盒,個
盒子,個
圖書,本
童子軍,隊
書櫃,個
櫃子,個
兒童,個
枇杷,個
筆記本,本
球員,人
遊覽車,輛
排球球員,人
衣服,件
觀光客,人
故事書,本
